url_length,domain_length,subdomain_length,path_length,num_dots,num_hyphens,num_underscores,num_slashes,num_digits,num_special_chars,num_sensitive_words,has_@,has_https,has_ip,has_suspicious_tld,is_shortened,label
115,9,13,88,2,11,0,3,0,0,0,0,0,0,0,0,0
24,12,0,8,1,0,0,1,4,0,0,0,0,0,0,0,1
104,8,0,92,1,9,0,5,10,0,0,0,0,0,0,0,0
39,4,0,31,1,2,0,2,5,0,0,0,0,0,0,0,0
166,15,0,96,6,2,3,8,11,2,1,0,1,0,0,0,1
76,16,0,53,3,4,0,4,0,0,0,0,0,0,0,0,1
79,6,0,70,1,15,0,4,42,0,0,0,0,0,0,0,1
80,7,0,55,2,4,0,4,8,2,0,0,0,0,0,0,1
58,26,0,28,1,2,0,2,0,0,0,0,0,0,0,0,1
38,13,0,25,4,0,1,2,10,0,1,0,0,1,0,0,1
52,11,0,10,2,0,1,1,0,4,0,0,0,0,0,0,1
77,4,0,70,1,8,0,3,8,0,0,0,0,0,0,0,0
26,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27,12,0,4,1,1,0,2,2,2,0,0,0,0,1,0,1
49,11,0,32,2,0,4,4,8,0,0,0,0,0,0,0,1
24,7,0,13,1,0,0,1,0,0,0,0,0,0,0,0,0
9,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
44,7,0,33,1,3,0,2,0,0,0,0,0,0,0,0,0
25,12,0,9,1,0,0,1,2,0,0,0,0,0,0,0,1
30,8,0,18,3,0,0,1,1,0,0,0,0,0,0,0,0
120,10,0,106,2,11,0,6,6,0,0,0,0,0,0,0,0
112,25,0,59,2,2,2,5,2,2,0,0,0,0,0,0,1
83,19,0,10,3,0,1,1,3,8,0,0,0,0,0,0,1
69,10,0,11,3,0,1,1,2,5,0,0,0,0,0,0,0
23,15,0,4,1,0,0,1,0,0,0,0,0,0,0,0,1
33,12,0,18,1,1,0,3,0,0,0,0,0,0,0,0,1
41,11,0,24,3,0,0,3,3,0,0,0,0,0,0,0,1
38,3,10,21,4,0,0,2,0,0,0,0,0,0,0,0,1
66,16,0,10,2,0,1,1,1,6,0,0,0,0,0,0,1
33,7,0,5,1,0,0,1,6,2,0,0,0,0,0,0,0
124,6,5,24,3,1,3,2,7,2,0,0,0,0,0,0,1
69,5,0,10,2,0,1,1,6,8,0,0,0,0,0,0,1
94,13,50,21,8,1,0,4,0,0,0,0,1,0,0,0,1
57,21,31,0,5,0,0,0,5,0,1,0,0,0,0,0,1
57,6,0,47,2,5,0,3,0,0,0,0,0,0,0,0,1
65,18,0,41,2,5,0,2,0,0,0,0,0,0,0,0,1
247,7,0,5,2,1,0,1,69,64,0,0,0,0,0,0,0
39,5,0,27,2,2,0,5,0,0,0,0,0,0,0,0,1
245,11,0,37,8,0,1,10,10,28,1,0,1,0,0,0,1
76,6,6,59,2,0,0,3,25,6,1,0,0,0,0,0,0
114,6,0,10,2,5,1,1,6,8,0,0,0,0,0,0,1
29,5,0,9,2,0,0,1,2,2,0,0,0,0,0,0,1
27,15,0,8,1,0,0,1,0,0,0,0,0,0,1,0,1
58,15,4,34,3,1,1,3,0,0,0,0,0,0,0,0,0
283,18,0,30,15,0,0,4,61,29,1,1,0,0,0,0,1
73,9,0,60,2,1,0,7,0,0,0,0,0,0,0,0,0
175,8,0,163,2,20,0,4,2,0,0,0,0,0,0,0,1
28,11,0,11,3,0,0,1,0,0,0,0,0,0,0,0,1
56,3,9,39,4,0,0,4,0,0,0,0,0,0,0,0,1
43,9,2,27,2,0,2,2,2,1,0,0,0,0,0,0,0
42,7,0,31,4,0,0,2,5,0,0,0,0,0,0,0,0
24,7,0,13,1,0,0,1,0,0,0,0,0,0,0,0,0
136,9,11,111,2,14,0,4,18,6,0,0,0,0,0,0,0
35,14,11,6,3,1,0,1,10,0,0,0,0,0,0,0,1
255,11,0,10,3,1,1,1,30,8,0,0,0,0,0,0,1
69,9,0,56,1,0,5,2,2,1,0,0,0,0,0,0,0
104,8,0,9,4,0,0,1,5,9,2,0,0,0,0,0,0
43,4,12,23,3,1,0,2,5,0,0,0,0,0,0,0,1
154,17,0,133,3,1,2,11,0,1,1,1,0,0,0,0,1
41,19,0,18,1,0,0,2,3,0,0,0,0,0,0,0,1
85,9,0,72,2,2,8,3,6,0,0,0,0,0,0,0,0
257,17,2,5,2,2,0,2,31,5,0,0,0,0,0,0,1
94,16,0,10,3,0,2,1,4,8,0,0,0,0,0,0,1
11,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
102,7,0,23,3,0,1,3,11,1,0,0,0,0,0,0,1
47,8,0,35,2,2,0,2,7,0,0,0,0,0,0,0,0
245,11,0,37,8,0,1,10,10,28,1,0,1,0,0,0,1
24,13,0,7,1,0,0,1,0,0,0,0,0,0,0,0,0
47,14,0,29,2,1,0,4,0,0,0,0,0,0,0,0,1
28,1,12,11,3,0,0,1,0,0,0,0,0,0,0,0,0
48,7,10,15,3,0,0,1,6,2,0,0,0,0,0,0,0
76,5,0,10,3,0,1,1,2,10,0,0,0,0,0,0,1
28,19,0,6,1,0,0,1,0,0,0,0,1,0,0,0,1
25,8,0,13,2,0,0,1,0,0,0,0,0,0,0,0,1
108,7,73,23,7,8,0,1,7,0,3,0,0,0,0,0,0
110,5,16,20,7,1,0,5,1,11,2,0,1,0,0,0,1
196,9,61,119,11,3,0,1,18,1,2,0,0,0,0,0,1
51,8,6,32,2,1,2,2,9,0,0,0,0,0,0,0,0
23,13,0,10,3,0,0,2,10,0,0,0,0,1,0,0,1
38,4,0,31,1,0,1,4,0,2,0,0,0,0,0,0,0
36,19,0,14,1,1,0,2,3,0,0,0,0,0,0,0,1
73,19,0,48,2,5,0,3,5,0,0,0,0,0,0,0,1
54,7,0,15,1,1,0,2,4,6,0,0,0,0,0,0,1
32,6,2,19,3,0,0,2,0,0,0,0,0,0,0,0,1
97,5,0,21,5,1,0,6,0,6,2,0,1,0,0,0,1
146,5,16,20,7,1,0,5,1,20,2,0,1,0,0,0,0
162,24,0,10,2,6,0,1,5,14,0,0,0,0,0,0,1
70,6,0,60,2,0,0,7,0,1,0,0,0,0,0,0,0
18,7,0,8,1,0,1,1,0,0,0,0,0,0,0,0,0
33,15,0,14,1,0,0,2,0,0,0,0,0,0,0,0,1
40,4,7,24,3,1,1,3,1,0,0,0,0,0,0,0,0
31,13,2,8,4,0,0,1,0,0,0,0,0,0,0,0,1
21,8,0,9,1,0,0,2,3,0,0,0,0,0,0,0,0
18,12,0,2,1,0,0,1,1,0,0,0,0,0,0,0,1
77,9,9,10,3,0,0,1,5,6,0,0,0,0,0,0,0
25,6,4,10,2,0,0,2,0,0,1,0,0,0,0,0,1
172,3,62,103,2,0,0,3,0,0,2,0,1,0,0,0,1
82,8,6,63,11,1,0,1,0,0,2,0,0,0,0,0,0
54,14,0,36,1,2,0,3,6,0,0,0,0,0,0,0,0
25,13,0,8,1,0,0,1,0,0,0,0,0,0,0,0,1
52,15,0,33,1,2,0,3,0,0,0,0,0,0,0,0,1
91,11,0,76,1,11,0,3,6,0,0,0,0,0,0,0,0
18,9,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0
49,3,14,9,3,0,0,1,3,2,0,0,0,0,0,0,1
39,18,0,17,2,0,0,2,0,0,0,0,0,0,0,0,1
158,7,7,38,5,1,4,3,36,5,3,0,0,0,0,0,1
38,9,0,25,2,0,0,4,7,0,0,0,0,0,0,0,1
46,8,0,17,3,1,0,4,0,1,1,0,1,0,0,0,1
68,4,12,48,3,1,0,2,23,0,0,0,0,0,0,0,1
158,7,7,38,5,1,4,3,42,5,3,0,0,0,0,0,1
50,5,21,17,6,1,0,2,8,0,0,0,0,0,0,0,0
